geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,competitor_sales_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Organic_channel0_impression,Promo,conversions,revenue_per_conversion,population
Geo0,26 April 2021,205575,38204,0,397778,0,-0.69641,-1.24054,1507.425,368.3336,0,3099.821,0,0,0.55688,2779414,0.019974,136670.9
Geo0,03 May 2021,90953,0,0,78105,447455,-1.56969,-2.30923,666.9332,0,0,608.6598,3486.53,0,1.265783,2335400,0.020144,136670.9
Geo0,10 May 2021,155015,289612,0,475510,254598,1.194876,-1.36418,1136.682,2792.216,0,3705.574,1983.805,0,0,2429740,0.020053,136670.9
Geo0,17 May 2021,139836,184700,0,277029,74744,-0.12524,-0.71587,1025.379,1780.736,0,2158.843,582.3986,10126,0,4339777,0.020104,136670.9
Geo0,24 May 2021,388037,147001,0,92359,121726,-0.4661,-0.97993,2845.368,1417.271,0,719.739,948.4783,0,0,3068357,0.019972,136670.9
Geo0,31 May 2021,0,491676,160928,801735,331396,0.138433,1.812194,0,4740.362,1195.844,6247.793,2582.208,117413,0,2179793,0.019968,136670.9
Geo0,07 June 2021,221746,58085,0,628365,134211,0.362527,0.016914,1626.002,560.0109,0,4896.748,1045.76,172884,0.234715,1972933,0.020036,136670.9
Geo0,14 June 2021,522698,53047,10339,800459,393926,1.50631,1.127634,3832.8,511.4384,76.82833,6237.85,3069.437,330830,0,1048367,0.019913,136670.9
Geo0,21 June 2021,31481,111302,0,0,20292,-1.63629,-0.27724,230.8415,1073.088,0,0,158.1135,0,0,3893564,0.019935,136670.9
Geo0,28 June 2021,124951,98741,0,426485,344246,1.96072,-1.81767,916.2311,951.9848,0,3323.53,2682.335,113464,0.158661,1130191,0.020028,136670.9
Geo0,05 July 2021,0,28473,0,416725,356255,0.768834,-1.58933,0,274.5148,0,3247.471,2775.908,172538,0.843826,1630339,0.020079,136670.9
Geo0,12 July 2021,202855,208509,0,343028,111658,-0.20757,0.146655,1487.48,2010.283,0,2673.163,870.0292,0,0,1636970,0.019916,136670.9
Geo0,19 July 2021,0,0,0,194185,0,-2.27856,-0.76092,0,0,0,1513.253,0,0,0.229254,2052384,0.020144,136670.9
Geo0,26 July 2021,0,188866,188847,551956,457125,1.682773,-0.33497,0,1820.901,1403.308,4301.305,3561.877,476514,0,1971319,0.019973,136670.9
Geo0,02 August 2021,82595,246895,111412,144402,239598,-0.62595,-0.23798,605.6462,2380.372,827.8941,1125.302,1866.926,34179,1.41145,2183971,0.019968,136670.9
Geo0,09 August 2021,65819,0,171922,501537,269422,-0.04261,0.873891,482.6325,0,1277.539,3908.398,2099.313,0,0,3191705,0.020047,136670.9
Geo0,16 August 2021,315181,245276,0,623642,159260,-0.60719,0.872879,2311.135,2364.763,0,4859.942,1240.94,213951,1.00737,2329655,0.020102,136670.9
Geo0,23 August 2021,312903,0,0,455914,350871,0.982622,-0.31538,2294.431,0,0,3552.865,2733.956,65117,0,3049318,0.020039,136670.9
Geo0,30 August 2021,482966,368806,153256,838658,355976,0.854126,2.178164,3541.456,3555.744,1138.834,6535.528,2773.733,382727,0,1722396,0.020028,136670.9
Geo0,06 September 2021,73496,0,0,155334,175968,-0.32333,-2.16626,538.9258,0,0,1210.493,1371.127,0,1.061648,2601331,0.02009,136670.9
Geo0,13 September 2021,208795,245380,0,673509,379345,1.463603,-0.23727,1531.036,2365.765,0,5248.548,2955.823,0,0,1641318,0.020092,136670.9
Geo0,20 September 2021,189431,155799,0,282879,300287,-0.63264,-0.72446,1389.045,1502.094,0,2204.431,2339.81,202,0.555921,3196749,0.020063,136670.9
Geo0,27 September 2021,151698,205055,0,489137,405670,-0.02021,-1.51142,1112.359,1976.983,0,3811.767,3160.945,0,1.089553,2394688,0.020079,136670.9
Geo0,04 October 2021,319900,146187,14469,762709,104958,1.451543,-0.67117,2345.738,1409.423,107.518,5943.669,817.8234,34799,0,1063526,0.020036,136670.9
Geo0,11 October 2021,307650,577327,295997,915117,800469,2.016418,-0.16415,2255.912,5566.144,2199.531,7131.361,6237.184,307127,0.984529,1374069,0.019972,136670.9
Geo0,18 October 2021,367332,85671,362145,642076,305810,0.961539,0.422046,2693.544,825.9739,2691.072,5003.596,2382.845,377410,1.578621,2741299,0.019871,136670.9
Geo0,25 October 2021,175832,209304,0,290784,390589,0.361196,-0.30547,1289.327,2017.948,0,2266.033,3043.435,0,0,2612483,0.020108,136670.9
Geo0,01 November 2021,168631,86902,0,403115,0,-0.59876,0.141412,1236.524,837.8423,0,3141.411,0,0,0,2361390,0.020124,136670.9
Geo0,08 November 2021,238164,0,0,472360,355192,0.330297,1.26817,1746.391,0,0,3681.026,2767.625,479203,0,1420467,0.020151,136670.9
Geo0,15 November 2021,375155,273468,0,749763,183852,-0.01623,1.21396,2750.908,2636.568,0,5842.784,1432.559,470025,1.578708,2604857,0.020027,136670.9
Geo0,22 November 2021,520753,403994,148653,970082,269750,-0.49421,3.249462,3818.538,3895,1104.629,7559.694,2101.868,495078,1.130033,3886090,0.020042,136670.9
Geo0,29 November 2021,172833,416089,0,641773,368880,0.935686,0.256667,1267.337,4011.611,0,5001.234,2874.28,126937,0,2133698,0.01998,136670.9
Geo0,06 December 2021,9903,359768,0,410835,417982,0.02733,0.740681,72.61596,3468.606,0,3201.572,3256.879,205954,0.026187,1997668,0.020075,136670.9
Geo0,13 December 2021,76250,393135,0,253507,256723,-0.03357,0.311706,559.1201,3790.305,0,1975.54,2000.363,29447,0,2676694,0.019991,136670.9
Geo0,20 December 2021,209231,18239,0,420895,29187,-0.31127,-0.48884,1534.233,175.8464,0,3279.968,227.4225,136572,0,2817376,0.019944,136670.9
Geo0,27 December 2021,405537,141793,3596,848756,318456,0.860723,-0.07131,2973.69,1367.059,26.7216,6614.22,2481.381,284255,1.455731,1985086,0.020194,136670.9
Geo0,03 January 2022,374597,0,0,236533,58164,-0.96558,0.451072,2746.816,0,0,1843.264,453.2087,0,0,2982074,0.020005,136670.9
Geo0,10 January 2022,36607,54538,0,587840,595561,-0.47562,-0.46259,268.429,525.8135,0,4580.943,4640.559,0,0.01362,1938692,0.020118,136670.9
Geo0,17 January 2022,137673,0,0,471948,323556,0.429504,-1.67726,1009.518,0,0,3677.815,2521.12,0,0,2693435,0.019854,136670.9
Geo0,24 January 2022,579492,43963,0,393241,0,-1.62916,0.800536,4249.254,423.8575,0,3064.465,0,487929,2.490375,3443452,0.019974,136670.9
Geo0,31 January 2022,308581,0,0,191085,0,-0.40193,-2.39703,2262.739,0,0,1489.095,0,0,0,949304.5,0.020171,136670.9
Geo0,07 February 2022,297608,400014,0,389475,545883,0.457133,0.860505,2182.277,3856.627,0,3035.117,4253.472,506575,0,1566831,0.019919,136670.9
Geo0,14 February 2022,245095,220899,0,579486,0,-0.49656,1.559152,1797.214,2129.739,0,4515.842,0,155157,0.248691,1960729,0.020121,136670.9
Geo0,21 February 2022,15123,202927,473934,598668,239147,2.116428,0.69519,110.8928,1956.466,3521.768,4665.324,1863.412,237597,0,993044.5,0.019958,136670.9
Geo0,28 February 2022,183311,177421,0,222313,0,-2.35634,0.102197,1344.169,1710.557,0,1732.45,0,215642,1.049467,4033642,0.020135,136670.9
Geo0,07 March 2022,410756,30425,14469,511332,335344,0.129233,-0.11344,3011.96,293.3345,107.518,3984.729,2612.971,249437,0.78975,1792589,0.019825,136670.9
Geo0,14 March 2022,306297,341106,199621,647233,525200,0.284594,1.137065,2245.991,3288.682,1483.369,5043.784,4092.312,243823,0,2489067,0.019956,136670.9
Geo0,21 March 2022,302066,0,0,865187,53750,-0.17872,0.014229,2214.966,0,0,6742.265,418.8153,201472,0,2444716,0.019942,136670.9
Geo0,28 March 2022,248430,0,0,183041,0,-1.18687,-1.49171,1821.668,0,0,1426.409,0,126196,1.193505,2752760,0.019847,136670.9
Geo0,04 April 2022,71431,153986,197484,308073,341741,-1.37861,1.353352,523.7838,1484.615,1467.489,2400.764,2662.816,476568,0,3680883,0.019948,136670.9
Geo0,11 April 2022,205338,0,0,559674,88454,0.850157,-0.72384,1505.687,0,0,4361.45,689.2258,71432,0.067077,1217228,0.020156,136670.9
Geo0,18 April 2022,63661,0,0,321413,149003,-1.20894,-1.52542,466.8085,0,0,2504.72,1161.018,23125,1.638322,2549976,0.020068,136670.9
Geo0,25 April 2022,114318,0,0,307610,0,-0.94085,-2.31816,838.2623,0,0,2397.156,0,0,0,2134882,0.019974,136670.9
Geo0,02 May 2022,8715,157943,0,328810,0,-1.63583,0.330822,63.90468,1522.765,0,2562.364,0,48332,0.473334,1378953,0.020034,136670.9
Geo0,09 May 2022,165397,10443,0,510014,291887,-0.00505,-0.49602,1212.81,100.6834,0,3974.458,2274.358,0,0.71937,3630084,0.019799,136670.9
Geo0,16 May 2022,0,30888,0,375457,216629,-1.4217,-0.85026,0,297.7984,0,2925.877,1687.954,0,1.49508,2398121,0.019974,136670.9
Geo0,23 May 2022,132926,430323,48499,212899,309589,0.103017,-0.93443,974.7095,4148.844,360.3924,1659.088,2412.29,0,0,3216923,0.020046,136670.9
Geo0,30 May 2022,269624,0,0,598379,601497,0.856233,-0.44343,1977.078,0,0,4663.072,4686.812,24392,0.758471,2790069,0.019998,136670.9
Geo0,06 June 2022,612859,48312,0,304242,306014,-2.22068,-0.65847,4493.925,465.7872,0,2370.909,2384.434,315096,2.585896,2771488,0.020064,136670.9
Geo0,13 June 2022,382977,383237,0,288614,303019,-1.24875,1.81079,2808.264,3694.877,0,2249.123,2361.097,473898,0,2454787,0.019844,136670.9
Geo0,20 June 2022,0,166375,0,358551,117936,-0.68236,-0.67876,0,1604.06,0,2794.131,918.9469,0,0,1558355,0.019948,136670.9
Geo0,27 June 2022,111527,449120,0,364583,11643,-2.28054,1.134342,817.7966,4330.07,0,2841.137,90.72123,21188,0.30107,3449617,0.019968,136670.9
Geo0,04 July 2022,566751,0,148981,380696,379788,-1.11025,1.011601,4155.828,0,1107.067,2966.703,2959.274,161962,2.36462,3017797,0.01997,136670.9
Geo0,11 July 2022,294096,18443,167332,930557,530907,1.321166,1.158666,2156.524,177.8132,1243.432,7251.683,4136.78,428218,1.06223,2893511,0.020003,136670.9
Geo0,18 July 2022,79902,79385,0,297898,292292,-0.16733,-0.98622,585.8992,765.3692,0,2321.471,2277.513,0,0,2202815,0.020118,136670.9
Geo0,25 July 2022,217515,318165,0,414344,420727,-0.74745,1.721985,1594.977,3067.502,0,3228.917,3278.268,79640,0.001066,2397625,0.020097,136670.9
Geo0,01 August 2022,150049,45187,151653,485379,472051,2.198353,-0.42496,1100.268,435.6584,1126.922,3782.481,3678.18,70746,0,643680.5,0.020105,136670.9
Geo0,08 August 2022,215156,103971,100212,389850,161554,0.594244,0.648007,1577.679,1002.409,744.6678,3038.039,1258.815,72917,0.053026,1642986,0.020149,136670.9
Geo0,15 August 2022,39006,6811,0,301537,107881,-1.33643,-0.62188,286.0202,65.66643,0,2349.83,840.5992,53881,0.127129,2337043,0.019975,136670.9
Geo0,22 August 2022,287110,575334,175409,274969,429373,0.742343,1.129961,2105.298,5546.929,1303.451,2142.79,3345.637,382009,0,2840257,0.020051,136670.9
Geo0,29 August 2022,622406,305225,376263,800796,613038,1.416989,1.557285,4563.931,2942.745,2795.982,6240.476,4776.738,330101,2.17046,2530941,0.019964,136670.9
Geo0,05 September 2022,314555,0,0,758119,28933,1.229067,-1.1452,2306.545,0,0,5907.9,225.4434,0,0,1099343,0.020088,136670.9
Geo0,12 September 2022,0,71623,199498,507936,392550,1.663288,-0.49533,0,690.5339,1482.455,3958.264,3058.715,42253,0,2774088,0.020071,136670.9
Geo0,19 September 2022,523585,95627,321059,500605,251940,0.463078,0.747285,3839.304,921.962,2385.765,3901.135,1963.094,52877,0.537157,2014284,0.019793,136670.9
Geo0,26 September 2022,316706,408217,168271,944990,384225,1.0407,1.088784,2322.317,3935.715,1250.409,7364.157,2993.847,304060,1.712122,2972294,0.020016,136670.9
Geo0,03 October 2022,495955,322925,24285,895616,241546,0.625598,1.475512,3636.701,3113.395,180.46,6979.393,1882.105,156720,1.903788,2193337,0.020048,136670.9
Geo0,10 October 2022,315727,230430,63614,290206,611526,1.84513,0.00063,2315.139,2221.629,472.7108,2261.529,4764.957,111019,0.495252,2850048,0.020127,136670.9
Geo0,17 October 2022,185487,209779,366345,984345,738102,3.051661,1.377728,1360.125,2022.528,2722.282,7670.843,5751.226,441399,0,1778753,0.020044,136670.9
Geo0,24 October 2022,110803,96884,0,305280,248078,-0.02348,-0.62295,812.4877,934.0811,0,2378.998,1933.002,126316,0,1745033,0.019724,136670.9
Geo0,31 October 2022,367094,353510,63769,540719,60695,-0.39046,1.359581,2691.799,3408.272,473.8626,4213.737,472.9301,38764,0,3570955,0.020054,136670.9
Geo0,07 November 2022,259605,64010,0,627892,591187,1.13495,0.873727,1903.612,617.1353,0,4893.062,4606.477,44142,0,2060949,0.019923,136670.9
Geo0,14 November 2022,463582,0,0,342227,25038,-1.35747,-0.19536,3399.319,0,0,2666.92,195.0939,223959,1.070976,3787274,0.020175,136670.9
Geo0,21 November 2022,249611,0,0,429676,128859,1.082904,-0.57863,1830.328,0,0,3348.397,1004.058,0,0.184716,2373418,0.020007,136670.9
Geo0,28 November 2022,199935,132459,138225,765472,548471,2.568457,0.708417,1466.068,1277.068,1027.14,5965.201,4273.638,198037,0,1082464,0.020012,136670.9
Geo0,05 December 2022,222585,354737,0,558784,105485,-0.23991,-0.08572,1632.154,3420.102,0,4354.515,821.9298,0,0.44002,2823385,0.019861,136670.9
Geo0,12 December 2022,29492,108697,54139,627121,169003,1.771204,-0.55999,216.2567,1047.973,402.3028,4887.054,1316.856,292630,0,1119445,0.020159,136670.9
Geo0,19 December 2022,211475,0,210215,593108,165537,0.436624,0.063746,1550.688,0,1562.092,4621.996,1289.85,163344,0,1455831,0.020047,136670.9
Geo0,26 December 2022,233098,255270,186358,280160,128316,0.044708,0.85018,1709.243,2461.117,1384.812,2183.242,999.827,28884,0.895849,2072968,0.020033,136670.9
Geo0,02 January 2023,100713,26628,0,513233,204442,0.181207,-0.24844,738.5006,256.7267,0,3999.543,1592.994,2391,0,2076040,0.019946,136670.9
Geo0,09 January 2023,244492,158008,0,409000,0,-0.17927,-0.05996,1792.792,1523.392,0,3187.272,0,314125,0.336729,1606245,0.020027,136670.9
Geo0,16 January 2023,287659,0,0,312341,204828,-0.50718,-0.43075,2109.324,0,0,2434.023,1596.002,0,0,1292716,0.020062,136670.9
Geo0,23 January 2023,23859,0,0,142901,44410,-1.68485,-1.53066,174.9514,0,0,1113.605,346.0388,0,0,3255511,0.019879,136670.9
Geo0,30 January 2023,0,0,0,156669,6038,-0.44457,-1.65484,0,0,0,1220.897,47.04756,0,0,2934165,0.019957,136670.9
Geo0,06 February 2023,156970,0,0,308908,34708,-0.50344,0.684381,1151.018,0,0,2407.271,270.4417,327845,0,981827.9,0.020034,136670.9
Geo0,13 February 2023,481782,172527,0,166221,123038,0.030965,0.423646,3532.774,1663.373,0,1295.334,958.7012,226138,0.865055,2217087,0.019937,136670.9
Geo0,20 February 2023,0,292041,0,0,0,0.187812,-3.22119,0,2815.635,0,0,0,0,0,1083813,0.019856,136670.9
Geo0,27 February 2023,308228,158000,122358,612010,322086,-0.91564,0.608296,2260.15,1523.315,909.233,4769.296,2509.666,365901,2.704398,3053676,0.019918,136670.9
Geo0,06 March 2023,26378,106328,0,529967,403524,1.004416,-1.11338,193.4226,1025.133,0,4129.948,3144.223,284763,0.424135,2049407,0.020027,136670.9
Geo0,13 March 2023,0,0,0,529206,0,-0.35037,-0.08654,0,0,0,4124.018,0,89128,0,1698339,0.019855,136670.9
Geo0,20 March 2023,80371,16165,41056,68180,0,-0.2921,-1.65121,589.3383,155.8505,305.0841,531.3159,0,0,0.138921,1668394,0.019942,136670.9
Geo0,27 March 2023,75067,277995,979,492758,30509,-1.80227,1.402487,550.4455,2680.214,7.274875,3839.985,237.7234,74603,0,2713922,0.020108,136670.9
Geo0,03 April 2023,265243,381022,0,471021,0,-1.49124,1.580583,1944.954,3673.521,0,3670.592,0,0,0,2888208,0.020079,136670.9
Geo0,10 April 2023,342578,295734,0,298428,187298,-1.09308,-0.80799,2512.03,2851.24,0,2325.602,1459.41,0,0,2343211,0.019959,136670.9
Geo0,17 April 2023,27329,246745,0,516712,127012,-0.13578,-0.42503,200.396,2378.926,0,4026.654,989.6663,23429,0,1460104,0.02009,136670.9
Geo0,24 April 2023,0,146559,0,157498,445312,-1.4791,-0.00555,0,1413.009,0,1227.357,3469.832,57460,0,2507804,0.020009,136670.9
Geo0,01 May 2023,226898,74761,368479,673861,269730,0.772586,0.48848,1663.78,720.7882,2738.139,5251.292,2101.712,159312,0.915923,1364250,0.020159,136670.9
Geo0,08 May 2023,22998,141311,0,71708,122686,-0.30088,-1.7957,168.638,1362.412,0,558.809,955.9584,83829,0.109653,2435051,0.019915,136670.9
Geo0,15 May 2023,484169,0,0,105194,0,-1.78029,-0.06326,3550.277,0,0,819.7601,0,135084,0,2994143,0.020123,136670.9
Geo0,22 May 2023,225878,4905,0,227050,62148,-1.25221,-0.16797,1656.301,47.29024,0,1769.364,484.2517,0,0.543611,1883040,0.02001,136670.9
Geo0,29 May 2023,548106,144594,0,509233,159879,-0.80109,-0.74721,4019.11,1394.064,0,3968.372,1245.763,0,1.683206,4074299,0.019981,136670.9
Geo0,05 June 2023,30399,9615,0,187115,30214,-0.55013,-1.35111,222.9075,92.70044,0,1458.157,235.4248,0,0.255257,3284566,0.020001,136670.9
Geo0,12 June 2023,274492,181424,154054,374895,369280,-0.26034,2.111864,2012.774,1749.151,1144.764,2921.497,2877.397,283677,0.256863,1800127,0.019971,136670.9
Geo0,19 June 2023,223586,0,0,649378,0,0.182492,-1.27882,1639.494,0,0,5060.499,0,0,0,2668833,0.020098,136670.9
Geo0,26 June 2023,11165,159963,229167,608864,292965,-0.46319,0.037628,81.86985,1542.24,1702.923,4744.78,2282.758,275192,0.906384,1835607,0.019977,136670.9
Geo0,03 July 2023,320968,113578,0,254295,35206,-0.91687,-0.93919,2353.57,1095.032,0,1981.68,274.322,0,0.254729,2581383,0.020023,136670.9
Geo0,10 July 2023,199186,85065,0,323625,22121,0.518302,-1.24398,1460.576,820.1314,0,2521.958,172.3649,0,1.042398,1501769,0.020075,136670.9
Geo0,17 July 2023,293026,269089,0,281053,157623,-1.97687,0.212126,2148.679,2594.349,0,2190.201,1228.184,154767,0,3357161,0.019931,136670.9
Geo0,24 July 2023,127607,0,0,161076,333478,0.503502,-2.332,935.7068,0,0,1255.24,2598.431,0,0.234831,1089303,0.019886,136670.9
Geo0,31 July 2023,0,0,0,230059,416615,0.453618,-0.55341,0,0,0,1792.813,3246.227,0,0,1479726,0.020116,136670.9
Geo0,07 August 2023,249252,0,0,363425,216634,1.486912,-0.74112,1827.696,0,0,2832.113,1687.993,289926,1.061849,1004548,0.020096,136670.9
Geo0,14 August 2023,347281,38774,0,355492,301460,-0.17119,-2.2248,2546.515,373.8291,0,2770.293,2348.95,251270,2.746371,3505406,0.019951,136670.9
Geo0,21 August 2023,226179,238087,217863,595325,406302,2.593277,-0.01496,1658.508,2295.452,1618.924,4639.273,3165.869,28169,0,855227,0.019915,136670.9
Geo0,28 August 2023,71990,0,0,344192,141534,-1.21589,-0.578,527.8828,0,0,2682.233,1102.82,0,0.38246,3181603,0.019926,136670.9
Geo0,04 September 2023,413648,378525,455266,712102,416156,1.567519,0.850057,3033.166,3649.447,3383.047,5549.297,3242.651,243407,0.614788,1905987,0.019998,136670.9
Geo0,11 September 2023,124229,229262,99138,865630,412929,2.283236,0.593824,910.9369,2210.368,736.687,6745.716,3217.506,152068,0.706621,2624218,0.019972,136670.9
Geo0,18 September 2023,0,164742,0,261587,114212,-0.18241,-1.38066,0,1588.316,0,2038.506,889.9298,0,0,2762615,0.020215,136670.9
Geo0,25 September 2023,489714,150033,301683,738615,391996,-0.14049,1.392533,3590.937,1446.503,2241.783,5755.909,3054.398,187471,0.560787,2268472,0.02,136670.9
Geo0,02 October 2023,344966,171891,0,400879,426141,0.518119,1.462867,2529.54,1657.241,0,3123.986,3320.453,168572,0,1331495,0.019948,136670.9
Geo0,09 October 2023,273775,255048,0,489120,515497,-1.67817,1.678821,2007.516,2458.977,0,3811.634,4016.707,149032,0.351449,2717737,0.019965,136670.9
Geo0,16 October 2023,154999,380851,422820,835947,601505,2.987425,0.352919,1136.565,3671.873,3141.944,6514.401,4686.874,302805,0,1554151,0.020031,136670.9
Geo0,23 October 2023,407551,177392,371910,779124,421906,0.813452,1.405796,2988.459,1710.277,2763.635,6071.589,3287.454,267219,1.776467,2492634,0.020155,136670.9
Geo0,30 October 2023,406914,81893,29611,174997,257069,0.64952,1.028971,2983.788,789.5494,220.0371,1363.724,2003.059,52585,0,3584370,0.01986,136670.9
Geo0,06 November 2023,176909,119317,234617,546091,305829,1.794961,-0.68126,1297.225,1150.363,1743.421,4255.6,2382.992,131601,0,2062281,0.020032,136670.9
Geo0,13 November 2023,299061,341781,481152,910568,185364,0.326037,1.672005,2192.931,3295.19,3575.404,7095.911,1444.34,123878,0.853317,1855645,0.019941,136670.9
Geo0,20 November 2023,36766,128466,0,490458,0,0.895834,0.191237,269.5949,1238.571,0,3822.061,0,180819,0,1716356,0.020011,136670.9
Geo0,27 November 2023,202669,0,0,195178,0,0.488969,-1.57959,1486.116,0,0,1520.991,0,0,0.145001,902044.1,0.019916,136670.9
Geo0,04 December 2023,318244,106720,185866,473261,273689,-0.45695,0.759983,2333.595,1028.912,1381.156,3688.048,2132.561,28740,1.326577,2075852,0.019942,136670.9
Geo0,11 December 2023,367129,0,0,463676,3660,-1.38694,-1.74346,2692.055,0,0,3613.353,28.5184,0,0.587262,2669107,0.019819,136670.9
Geo0,18 December 2023,0,305971,0,426874,150182,0.18507,0.749219,0,2949.937,0,3326.561,1170.205,147360,0,3527291,0.019829,136670.9
Geo0,25 December 2023,65532,0,156942,223832,166381,0.504395,0.099168,480.528,0,1166.224,1744.287,1296.426,256189,0,2385392,0.020042,136670.9
Geo0,01 January 2024,46686,0,0,590599,98815,-1.49002,-0.64561,342.3355,0,0,4602.444,769.9578,208967,0,2052165,0.019955,136670.9
Geo0,08 January 2024,69662,188196,0,0,27429,-1.43368,-1.4067,510.8122,1814.441,0,0,213.7244,0,0,2113786,0.019984,136670.9
Geo0,15 January 2024,0,0,0,153290,0,-1.7149,-1.56703,0,0,0,1194.565,0,0,0,2261658,0.019996,136670.9
Geo1,25 January 2021,293884,191662,108120,415415,710474,0.035612,-0.94781,2154.97,1847.858,803.4316,3237.263,5535.951,0,0,2126298,0.020085,199816.9
Geo1,01 February 2021,597519,360999,255145,584855,452186,1.009433,1.322983,4381.441,3480.475,1895.963,4557.682,3523.393,236553,0,1900218,0.019933,199816.9
Geo1,08 February 2021,101282,456699,0,346725,5589,-1.5901,-1.35979,742.6729,4403.141,0,2701.972,43.54899,0,0,7177179,0.020159,199816.9
Geo1,15 February 2021,764935,160320,0,709178,128311,-1.28951,1.627575,5609.057,1545.682,0,5526.511,999.788,419210,0,6683685,0.020129,199816.9
Geo1,22 February 2021,336554,411163,0,552504,763935,-0.0162,0.415388,2467.857,3964.118,0,4305.576,5952.514,0,0.079806,3093099,0.01979,199816.9
Geo1,01 March 2021,14768,160193,0,139937,97866,-1.20365,-2.45601,108.2897,1544.458,0,1090.507,762.5632,0,0,4022111,0.020047,199816.9
Geo1,08 March 2021,674608,68134,0,1230241,675159,-0.89852,0.976062,4946.713,656.8957,0,9587.072,5260.779,285636,0,5277078,0.020031,199816.9
Geo1,15 March 2021,537424,90647,0,465799,505284,-0.34661,-0.08401,3940.782,873.9487,0,3629.897,3937.128,0,0,4738112,0.020064,199816.9
Geo1,22 March 2021,266579,113327,147075,998091,801985,2.002528,-1.74447,1954.75,1092.612,1092.903,7777.964,6248.996,478950,1.02672,671304.7,0.020034,199816.9
Geo1,29 March 2021,385287,361717,789141,1148082,571734,1.379934,1.318697,2825.203,3487.397,5864.047,8946.82,4454.901,403514,0.466352,1914558,0.020224,199816.9
Geo1,05 April 2021,575662,655659,16983,1384928,400659,-0.31318,2.577884,4221.17,6321.36,126.1994,10792.52,3121.899,17792,0,2558953,0.019894,199816.9
Geo1,12 April 2021,0,0,0,386263,167901,-0.42725,-1.03553,0,0,0,3010.086,1308.27,89849,0,3710599,0.020026,199816.9
Geo1,19 April 2021,220273,225327,0,785644,315769,-0.73316,-0.88392,1615.201,2172.43,0,6122.398,2460.444,0,0.066592,4059038,0.019796,199816.9
Geo1,26 April 2021,0,0,0,243599,108048,-1.55613,-2.77428,0,0,0,1898.328,841.9005,0,0.135551,4359443,0.02009,199816.9
Geo1,03 May 2021,457211,0,0,177763,440162,-0.58896,-0.18811,3352.602,0,0,1385.279,3429.704,0,0,3643034,0.019814,199816.9
Geo1,10 May 2021,237640,309212,0,1106935,239096,-0.28828,0.180857,1742.548,2981.185,0,8626.168,1863.015,288245,0.435042,4557602,0.020024,199816.9
Geo1,17 May 2021,59551,145053,0,408271,0,-1.3559,-1.00254,436.671,1398.49,0,3181.591,0,0,0.454738,5526836,0.020151,199816.9
Geo1,24 May 2021,212978,0,0,155961,0,-1.65127,-0.73558,1561.709,0,0,1215.379,0,0,0,6369704,0.019901,199816.9
